title	action	edit_url	edition_url	remaining	cover_file	start_date	finish_date	historical
Seasonal Fears	existing audiobook	https://hardcover.app/editions/32058227/edit	https://hardcover.app/books/seasonal-fears/editions/32058227	None	output/2026-09-11/hardcover-audit/remaining-repairs/covers/seasonal-fears-5573a8dd.jpg	2025-05-22	2025-05-22	False
Sinners on Sunset: Imp World	created audiobook	https://hardcover.app/editions/33300380/edit	https://hardcover.app/books/sinners-on-sunset/editions/33300380	Upload cover	output/2026-09-11/hardcover-audit/remaining-repairs/covers/sinners-on-sunset-imp-world-42e718d7.jpg	2025-05-22	2025-05-22	False
Exodus	created audiobook	https://hardcover.app/editions/33300381/edit	https://hardcover.app/books/exodus-d972826b-63ff-43a2-ba13-8a9e551c81bf/editions/33300381	Upload cover	output/2026-09-11/hardcover-audit/remaining-repairs/covers/exodus-8619ae4b.jpg	2025-05-22	2025-05-22	False
Queen of the Damned	created audiobook	https://hardcover.app/editions/33300383/edit	https://hardcover.app/books/queen-of-the-damned-2018/editions/33300383	Upload cover	output/2026-09-11/hardcover-audit/remaining-repairs/covers/queen-of-the-damned-f3335cfa.jpg	2025-05-22	2025-05-22	False
The Morning Star	created audiobook	https://hardcover.app/editions/33300384/edit	https://hardcover.app/books/the-morning-star-2018/editions/33300384	Upload cover	output/2026-09-11/hardcover-audit/remaining-repairs/covers/the-morning-star-3fdd8f5d.jpg	2025-05-22	2025-05-22	False
Unholy Pleasures	created audiobook	https://hardcover.app/editions/33300385/edit	https://hardcover.app/books/unholy-pleasures-2017/editions/33300385	Upload cover	output/2026-09-11/hardcover-audit/remaining-repairs/covers/unholy-pleasures-b0eda2f6.jpg	2025-05-22	2025-05-22	False
Freehaven Online: Dragonsbane	created audiobook	https://hardcover.app/editions/33300419/edit	https://hardcover.app/books/freehaven-online-dragonsbane/editions/33300419	Upload cover	output/2026-09-11/hardcover-audit/remaining-repairs/covers/freehaven-online-dragonsbane-fb7c7e52.jpg	2025-05-22	2025-05-22	False
It's Not What It Looks Like	created audiobook	https://hardcover.app/editions/33300386/edit	https://hardcover.app/books/its-not-what-it-looks-like/editions/33300386	Upload cover	output/2026-09-11/hardcover-audit/remaining-repairs/covers/it-s-not-what-it-looks-like-b8e7b66e.jpg	2025-05-22	2025-05-22	False
Even Tree Nymphs Get the Blues	existing audiobook	https://hardcover.app/editions/32635706/edit	https://hardcover.app/books/even-tree-nymphs-get-the-blues/editions/32635706	None	output/2026-09-11/hardcover-audit/remaining-repairs/covers/even-tree-nymphs-get-the-blues-1e45eb96.jpg	2025-05-22	2025-05-22	False
You Do You	existing audiobook	https://hardcover.app/editions/30449947/edit	https://hardcover.app/books/you-do-you-proud-to-be-fabulous/editions/30449947	None	output/2026-09-11/hardcover-audit/remaining-repairs/covers/you-do-you-1d937e45.jpg	2025-05-22	2025-05-22	False
Iron and Magic	created audiobook	https://hardcover.app/editions/33300388/edit	https://hardcover.app/books/iron-and-magic/editions/33300388	Upload cover	output/2026-09-11/hardcover-audit/remaining-repairs/covers/iron-and-magic-e753b542.jpg	2025-05-22	2025-05-22	False
Twain’s Feast	existing audiobook	https://hardcover.app/editions/32449340/edit	https://hardcover.app/books/twains-feast-a93c5d8d-af86-4d85-9ef0-7b17b880630f/editions/32449340	None	output/2026-09-11/hardcover-audit/remaining-repairs/covers/twain-s-feast-f64a7f85.jpg	2025-05-22	2025-05-22	False
We Are Legion (We Are Bob)	existing audiobook	https://hardcover.app/editions/30403937/edit	https://hardcover.app/books/we-are-legion/editions/30403937	None	output/2026-09-11/hardcover-audit/remaining-repairs/covers/we-are-legion-we-are-bob-c6af7537.jpg	2025-05-22	2025-05-22	False
Clean Sweep	created audiobook	https://hardcover.app/editions/33300389/edit	https://hardcover.app/books/clean-sweep/editions/33300389	Upload cover	output/2026-09-11/hardcover-audit/remaining-repairs/covers/clean-sweep-7e4f453f.jpg	2025-05-22	2025-05-22	False
Training Daze	created audiobook	https://hardcover.app/editions/33300390/edit	https://hardcover.app/books/kris-longknife-training-daze/editions/33300390	Upload cover	output/2026-09-11/hardcover-audit/remaining-repairs/covers/training-daze-44315d98.jpg	2025-05-22	2025-05-22	False
Last Breath	created audiobook	https://hardcover.app/editions/33300391/edit	https://hardcover.app/books/last-breath-2016/editions/33300391	Upload cover	output/2026-09-11/hardcover-audit/remaining-repairs/covers/last-breath-1b3a8751.jpg	2025-05-22	2025-05-22	False
